"@ferrlorenzon Não sou idolatra partidária, não desvie. O assunto aqui é João Amoêdo, se quer desviar para Bolsonaro fala dele, p que quiser em seu Twitter, se eu me interessar pela discussão entrarei no debate. Viva o livres, parceiro do Novo, e suas pautas tbm da agenda globalista da ONU.","""location"":""Minas Gerais"
" Brasil"",@jairbolsonaro Bolsonaro eu acho que eles alguns deles foram comprados pela corrupção do PT. O senhor já ouviu o depoimento do Davinte eu eu recebi vários áudios dele denunciando a corrupção dos generais e envolvimento de morte de queima de arquivo, Infelizmente.","""location"":null"
"@tresloukadu @CheioDeSoros @jairbolsonaro O que você falou é o que Bolsonaro prega: \""dar oportunidade para as famílias saírem dessa dependência.\""","""location"":""Rio de Janeiro - Brasil"""
"@veramagalhaes \""A única coisa boa do Maranhão é o presídio de Pedrinhas\"". Que absurdo! Os maranhenses merecem respeito, Bolsonaro. Em 2014, você não ligava pra isso. Não era presidenciável. Notem a agressividade e as palavras de baixo calão usadas pelo deputado.Ele está falando com JORNALISTAS. https://t.co/6I167hLC4e","""location"":""São Paulo"
" Brasil"",A Globo está desesperada!Está atirando pra todo lado!Já sabe que um Ex Militar está liderando todas as pesquisas, aliás fomos governados por Bandidos por décadas , aí tá tudo certo pra Globo , ela tem a fatia delaChora mais que tá poucoBolsonaro Presidente do Brasil ?? https://t.co/bWV8Q5NPaB","""location"":""Rio Grande do Sul"
" Brasil"",@BolsonaroSP @DireitaOficial Tá, foi linda a indignação com os que realmente sabem, mas Bolsonaro já aprendeu algo sobre economia ou sobre outros temas relevantes?","""location"":""Em algum lugar!"""
"@OArturSilvaGono @bernardopkuster Parabéns! Mas o Bolsonaro é o único candidato que esta unindo os monarquistas. Você não entende sobre isso, então nao preciso te explicar. Mas segue @lpbragancabr .","""location"":null"
Dim dim dim o bolsonaro é inutin https://t.co/icUk0975I0,"""location"":""+5521"""
"@beththj @folha vi sua pg vc é so mais uma podre comunista... sua resposta nao seria diferente, vc defende ciro gomes que é um podre, bandido e comunista e fala mau do bolsonaro ... vc é só mais um lixo...","""location"":null"
"@jairbolsonaro Tá pensando diferente desde quando Bolsonaro? Tu é estatizante, cara. Teu passado te condena, embuste.","""location"":""Brasil"""
"Jornalistas e politicos esquerdistas isentoes falam em democracia, mas nao a praticam em seus partidos. Sao donos e escolhem seus candidatos ao executivo de forma democratica. Eu sou candidato. Ou dilma e candidata. Onde estao as convençoes? Kkkk todos ditadores https://t.co/EK9ZSqaEJJ","""location"":null"
"@veramagalhaes Quem tem um filho, irmão ou amigo homossexual deve ver isso. Até outubro, o presidenciável Bolsonaro vai tentar parecer o que não é, vai dizer que mudou, só para conseguir seu voto. Ele também está fingindo que é um liberal na economia. https://t.co/sytefMzo5B","""location"":""São Paulo"
" Brasil"",@LucasMazzi78 @clafritz @mjcosta_ Melhor a retórica bobinha do Marx que a ladainha do Bolsonaro. Ai que saudade do DCE! Em nenhum momento falei que os povos europeus não foram escravizados. Daí pedir retratação aos italianos só na sua cabecinha esquemática. Leia um pouco mais de Chomsky Ano 501 e vê se aprende","""location"":null"
Namore alguém como o Nando Moura olha pro Bolsonaro https://t.co/UjwvazHCqL,"""location"":""moro em casa"""
1h da manhoe eu tentando entender pq os eleitores comuns sao normais e os eleitores do Bolsonaro são psicopatas,"""location"":""Itaperuna"
" RJ"",Gostei de um vídeo @YouTube https://t.co/eE0da3wjMO Bolsonaro explica como é feito o embarque em aviões (MAI/2018)","""location"":null"
Alguém tem dúvida de que Bolsonaro não ganha no segundo turno?,"""location"":null"
"Inacreditável constatar a cada dia que teremos zilhões de candidatos ao Palnalto, mas nenhum com os pré requisitos pro cargo. Menos piores apenas Álvaro, Amoedo e Bolsonaro. Chances reais de vitória só Bolsonaro???","""location"":""Onde o vento faz a curva"""
eu so robo do bolsonaro,"""location"":""Sao Paulo"
" Brazil"",Prá descobrir contas na Suíça, precisamos que as autoridades de lá denunciassem, corrupção na ditadura, quem denunciou foram os americanos, através de um telegrama!Estamos mal!! https://t.co/Ifq2UysZHK","""location"":""Brasil"""
@lauroneto25 Quem é você na fila do pão? Quem está ligando para isso? O que queremos é um candidato ficha limpa. Bolsonaro 2018 e 2022!,"""location"":null"
"meu pai me marcou num vídeo da rede social ao lado, onde um cara estava dizendo como o bolsonaro é bom (isso na pág do alexandre frota)ele literalmente cagou bem cagado no restinho de respeito que eu tinha por eleparabéns seu otário","""location"":null"
@CarlosBolsonaro NUSSSSSSSS O DESESPERO É TAMANHO QUE JÁ ESTÃO APELANDO PARA A DEMÊNCIA ???CHORA MAIS QUE AINDA ESTÁ POUCO ?????? FAMÍLIA BOLSONARO 2018 SEM DÓ NEM PIEDADE ??,"""location"":""Rio Grande do Sul"
" Brasil"",Se acha inteligente no aspecto politica/eleições? Sempre vejo tu debatendo no twitter. — O suficiente p n votar no bolsonaro nem no lula https://t.co/vNwhWeHGX0","""location"":""Santo Ângelo"
" Brasil"",@marcelomadu Em breve, teremos mais um membro da família Bolsonaro na política. Com Renan, serão CINCO mamando nas tetas. Ir para o setor privado, onde ninguém trabalha de terça à quinta, nenhum deles quis. https://t.co/hc78tpPRui","""location"":""São Paulo"
" Brasil"",Realmente todos funcionários na globolixo estão com medo do Bolsonaro ganhar. Td hora Faustão repete a mesma frase, de que não tem mito Salvador da pátria. O seu otário, vc não sabe o que diz, vc quer que a gente eleja PSDB ou pt de novo né?! Mas chega disso!","""location"":""Macaé/ilha do governador-RJ"""
Gostei de um vídeo @YouTube https://t.co/EAADM4OA2Y Bolsonaro explica como é feito o embarque em aviões (MAI/2018),"""location"":""Duque de Caxias"
" Brasil"",ela segue conta de Direita e segue a família bolsonaro JKKKKKKKKKKKKKKKK","""location"":""Rio de Janeiro"
" Brasil"",LEIAM https://t.co/yNleWCsCXW","""location"":""Earth Dimension"
" C-137"",@rosa_riscala Trump no Partido Republicano. Quais os partidos que ganham eleição nos EUA? Bolsonaro no PSL que elegeu 30 prefeitos em 2016, enquanto o PSDB elegeu 803. Se Bolso fosse o candidato do PSDB estaria no jogo de gente grande","""location"":""São Paulo"
" Brasil"",50 ano na cara e se dispõe a discutir com 3 adolescentes Só podia ser eleitor do Bolsonaro mesmo https://t.co/o9QvheOSMu","""location"":""Charqueadas"
" Brasil"",Vai de Ciro, Manu ou Bolsonaro? — Não tenho um candidato ainda! Esse tipo de decisão tem que ser decidido com calma, depois de muit... https://t.co/D5bxYu3M8Z","""location"":""Brasil"""
Quando alguém começa a defender o BolsonaroEu penso: https://t.co/MqAlmnY4h3,"""location"":null"
Gostei de um vídeo @YouTube https://t.co/hvMTdSARZn NÃO É HONESTO - E não é CRISTÃO - Bolsonaro o ASNO !,"""location"":""Boa viagem ceara"""
"digo e repito, se bolsonaro ganhar as eleições eu faço de tudo pra sair do país","""location"":""+fan account"""
"@CiroNeles Pior é quando a critica vem de bolsominion, bolsonaro mudou 9 vezes de partido, contra 7 do ciro","""location"":null"
"Persio tá com inveja pq o Paulo Guedes (conselheiro de Bolsonaro) será o homem mais importante na economia do Brasil.Trump lá, Bolsonaro cá!O Brasil tem solução com @jairbolsonaro e seu time em construção (Paulo Guedes na Economia, Mourão na Casa Civil, ...) https://t.co/D1Pg787sOi","""location"":""Brazil"""
@leandrocimino agora só Deus mas esta história vai mudar vamos votar o único é o bolsonaro e depois criminalizar esse comunismo  o brasil ficou muitos anos no comunismo vamos ter que varrer esses socialistas a cada eleição agora é focar nas eleiçõess e varrer aquele stf temos que ter fé,"""location"":null"
"@ManuelaDavila Problema grave do País não é isso não senhorita, o maior problema do Brasil é a #Corrupção parra de falar merda que discurso manjado aff por isso vou de # BOLSONARO mesmo.","""location"":""Marabá"
" Brasil"",@marinasantosl levaria uns bolsomito antes","""location"":""FFLCH"""
Gostei de um vídeo @YouTube https://t.co/4VURfhkSJo votar no Bolsonaro?????,"""location"":null"
"Eu não voto em bolsonaro, mais depois de todas as justificativas que dou pra que não votem nele perco o debate quando alguém fala assim: ata então vc vai votar em quem? Marina? Kkkk gente mais talvez ela consiga salvar o Brasil com fotossíntese vai saber","""location"":""Parque Avenida Pelinca"
" Campos dos Goytacazes"",@JamesDeam1 Mentira! Vc me desaponta em ser eleitor do bolsonaro.","""location"":""Goiânia"
" Brasil"",@ECantanhede Em breve, teremos mais um membro da família Bolsonaro na política. Com Renan, serão CINCO mamando nas tetas. Ir para o setor privado, onde ninguém trabalha de terça à quinta, nenhum deles quis. https://t.co/hc78tpPRui","""location"":""São Paulo"
" Brasil"",EU N TO ACREDITANDO Q EU AMAVA UM SER HUMANO QUE HJ CURTE A FAMILIA BOLSONARO","""location"":""Rio de Janeiro"
" Brasil"",Aquele momento que as pessoas preferem nao votar mais que votar e com isso fazem que alguem como Bolsonaro chegue ao poder https://t.co/vVJfEKJo9y","""location"":null"
Eita apresentadores pseudos artistas intelectuais...vao ver o q data https://t.co/oGZbxUoEmy,"""location"":null"
Meu deus a menina pastora é da laia dos eleitor do Bolsonaro Jesus amado,"""location"":null"
vai votar no bolsonaro? — deus me livre https://t.co/fAXx7a4Sg6,"""location"":""Paradise City"
" São Paulo"",Quando as crianças vão crescerem? https://t.co/RGaahPOsen","""location"":""Brasília"
" Brasil"",- Bolsonaro explica ae a situação da Venezuela!!!- Ela tá daquele jeito por que tiraram as armas dos habitantes, mas no meu governo minha equipe criará o programa \""Venezuela melhor\"", que visa melhorar a Venezuela...... https://t.co/aYOGhAKvo7","""location"":""Vitória"
" Brasil"",@Gutbyra Se esse fosse mesmo o pensamento do Bolsonaro, ele não seria candidato... É só vc raciocinar e chegará a esta conclusão. A não ser que vc não queira admitir isso pra poder atacar o candidato que não se suja c/ corrupção nem faz parte do stablishmant","""location"":""Brazil"""
A casa caiu...Mas continuarei sendo @jairbolsonaro ?? https://t.co/q1CmQEvnN2,"""location"":""Minas Gerais"
" Brasil"",@folha Deixa uma mulher declarar voto a Bolsonaro, pra vê se não é contra ninguém. Liberdade de opinião/meu corpo minhas regras, só vale pra um lado.","""location"":null"
Gostei de um vídeo @YouTube https://t.co/DmAKD6nmZZ? Bolsonaro?,"""location"":""Jandaia do Sul / Maringa"""
VOCE NÃO VOTA NEM NO GREMIO DA SUA ESCOLA QUEM DIRA NO BOLSONARO EU TO MORRENDOO COM ESSE MENINO KKKKKKKKKKK https://t.co/SLQDhlgfnD,"""location"":""Procura-se um rumo na vida..."""
fico na duvidaVoces preferem piroca na pizzaQueijo no cafeou Bolsonaro presidente?,"""location"":""Cascavel"
" Brasil"",@kibe_lokkoo @_oarroba @jovensreacinhas O mesmo eu digo do Bolsonaro: falar é fácil. Aliás ele fala cada coisa, como se ele pudesse fazer sozinho. E o pior é que muitos levam a sério. Não vou me prolongar mais, só a campanha oficial vai fazer o povo abrir os olhos.","""location"":""Uruguai"""
"@DanVagal Concordo, só espero que um Alckmin da vida não ganhe. Nem Bolsonaro!","""location"":""Sergipe"
" Brasil"",BOLSONARO: O \""CRISTÃO\"" QUE PREGA A MORTE! https://t.co/WfS19qHaFb via @YouTube","""location"":null"
"@larissaignez Você nunca fez piada? Fez de Bolsonaro, não é isso?","""location"":null"
@MiihOliveiraah1 O jogo do Bolsonaro Voador?,"""location"":""São João de Meriti"
" Brasil"",@GiMG__ factos, basta distorcê-los. Mas há fatos bem concretos contra a família Bolsonaro e o PSL também. Esses vocês ignoram, o que mostra que a pauta de vocês não é a que vocês declaram, pois abrem concessões convenientes. E nunca admitem. A coerência não é um valor de vocês.","""location"":""Curitiba"""
dica da noite https://t.co/FfZRPlAWAi,"""location"":""Cuba"""
boa noite só pra quem teve uma foto do bolsonaro te encarando durante a aula de história,"""location"":""Paraná"""
Sai Faustão vai fazer pizza https://t.co/9zYiPYk6rL,"""location"":null"
"Aí sardinha opa sorry Ciro Gomes ??Já está ficando ridículo esses ataques a Bolsonaro.Para que está ridículo,patético é de loravel Sir da inteligência suprema ???Brasil acima de tudo ?? https://t.co/BucRRTzDAA","""location"":""Estados Unidos"""
Jair Bolsonaro na frente nas pesquisas é demais para o meu cérebro :/,"""location"":""Brasil"""
"@jornalnacional A Globo está desesperada!Está atirando pra todo lado!Já sabe que um Ex Militar está liderando todas as pesquisas, aliás fomos governados por Bandidos por décadas , aí tá tudo certo pra Globo , ela tem a fatia delaChora mais que tá poucoBolsonaro Presidente do Brasil ??","""location"":""Rio Grande do Sul"
" Brasil"",Gostei de um vídeo @YouTube https://t.co/m3Huy49qYh FIM DE CIRO GOMES - BERNARDO KÜSTER CENSURADO - BOLSONARO PRESIDENTE 2018","""location"":""Recife-PE"""
"#EXCLUSIVO: EM CARTA JAIR BOLSONARO DEFENDE BOLSA FAMÍLIA \""COM... https://t.co/4gsH4KnIv2","""location"":""Santos"
" SP, Brasil e San Diego, CA, EUA"",@rcp01 Vamos nessa!https://t.co/g33EmcSEMI","""location"":""Aracaju"
" Brasil"",@rosa_riscala Doria não é tido como candidato, se confirmasse, com o tempo de televisão passaria o Bolsonaro fácil.","""location"":""Sao Paulo"
" Brazil"",@marcknho @Tarik_mohad @jairbolsonaro @rodaviva Sempre lembrando que dentro desses brancos e nulos tem o voto \""envergonhado\"" para o Bolsonaro. Assim como aconteceu com o Trump.","""location"":""Brazil"""
"@rosalvobarsa @hidenare @claudia_bigal @editerocha @PierreLourenco @elisangelaqueli @BlogdoNoblat @jairbolsonaro @FlavioBolsonaro @BolsonaroSP @CarlosBolsonaro O bolsonaro sempre votou com a esquerda, descupa vc esta ate careca de saber... e depois vem falar de mimimimim..","""location"":""Paulicéia"
" Brasil"",@BouloseSonia18 Bolsonaro e foda mesmo, com 9 anos de idade já dava discurso na onu","""location"":null"
"@Gutbyra Ei, vovô que um dia foi músico, eu soube que aos quatro anos de idade, o Bolsonaro mostrou a língua pra um coleguinha na creche. Pronto, delicie-se com essa notícia. E não esqueça de chamar a enfermeira pra trocar sua frauda geriátrica, vovô.","""location"":""Brazil"""
"[ENTREVISTA] O SHOW DE PAULO GUEDES, O 1º MINISTRO DE BOLSONARO. https://t.co/lrULldAn1p via @YouTube","""location"":""Localização"""
"o povo me dando unf só pq eu sigo o bolsonaro, gente n quer dizer nada, eu sigo para ficar ligado, é que nem notícia.....zzz","""location"":""Rio Grande do Sul"""
"Desculpa mas as vezes eu penso que para uma mulher apoiar o bolsonaro ela nunca teve medo de estar em qualquer lugar e ser estuprada ou assediada, porque um cara que fala que não estupraria por não merecer/ser feia e então se fosse pelo visto faria, isso é assustador demais","""location"":""Manaus"
" Brazil"",@worserep @badgalton1 ESSE MENINO FAKANDO DO BOLSONARO SOU EU","""location"":""lugar nenhum"""
@joicehasselmann Joice tem decidir se é Bolsonaro ou Doria Se é direita ou esquerdaPq João Doria apoia globalismo e agenda ONU Näo da pra servir 2 deuses,"""location"":null"
"Sobre o babaca Menotti e Fabiano, pergunto.QTS SAMBISTAS DE VERDADE TIRARAM FOTO OU DECLARARAM APOIO AO BOLSONARO?","""location"":""Volta Redonda RJ."""
"A grande diferença do poder360 pros outros institutos é q sua pesquisa é feita por tel, sem ser cara a cara com entrevistador.Isso explicaria o fato do Bolsonaro estar melhor nas pesquisas deles exatamente pela vergonha de se admitir o voto nele pra 1 pessoa. Efeito Trump https://t.co/r2hoClzCgP","""location"":null"
rindo muito!!!! https://t.co/4b4EAek7Dx,"""location"":""São Paulo"
" Brasil"",Enviei a foto q Fernanda enviou no gp da sala no grupo da família, do bolsonaro apertando um baseado, familiares quase enfartaram","""location"":""Arraial do Cabo Rj"""
Zé droguinha — Seu pai aquele defensor do Jair Bolsonaro https://t.co/Ib8grpy8UB,"""location"":""Em qualquer bar por ai"
" Brasil"",Pérsio Arida, àquele que, quando presidente do BC no governo FHC, foi acusado de repassar informações privilegiadas sobre a desvalorização do Real para o amigo Fernando Bracher, então presidente do BBA, é guru econômico do MAlckimin. Falou o q falou para ñ ser demitido novamente. https://t.co/TdAcJHbUjK","""location"":""Brasil"""
"Gente eu não sou a favor do Bolsonaro ganhar a eleição, mas vocês ja pararam para pensar, que de tanta bosta que ele fala e faz, ele pode mudar o nosso BRASIL, ele é capitão do exército e Deputado Federal, ficha limpa, sem envolvimento nenhum nessas porcaria toda! #Brasil","""location"":""São Simão"
" Brasil"",@senhordeivid Vei , você sabe que xingar pessoas que você nem conheçe o que ele faz de verdade , lê uma noticia qualquer e ainda acredita , essa geração nutella é foda. Bolsonaro neles.","""location"":null"
"não, nunca vi esse jogo KKK https://t.co/fvMJFwu4cr","""location"":""Rio de janeiro """
@georgemacedo Eu não vou suportar viver nesse país com Bolsonaro presidente.,"""location"":null"
MEI PRESIDENTE É FDISSO AE TAMOJUNTO#BOLSONARO https://t.co/18b0JKQ5U1,"""location"":null"
"Direita stalinista, liberais q depredam a lei.Parabéns a @josefucs q,ao contrário de tantos coleguinhas,tem coragem de chamar Bolsonaro pelo q ele é: um embuste. Nesta crise política,institucional,moral e econômica,presidida pela crise de sinapse, certo jornalismo piora tudo https://t.co/djgaPEhz5e","""location"":""Ubatuba"
" Brasil"",Ansioso pra ver o Bolsonaro ser engolido nesses debates da Band ?","""location"":null"
Vota no Bolsonaro que resolve minha senhora. https://t.co/0F5z7Jf65D,"""location"":""Porto Alegre"
" Brasil"",Pra exemplificar essa mudança peguei de ex meu irmão que é totalmente team bolsonaro \""direita opressora\"" e tudo mais esses dias ele tava tentando argumentar algo cmgo e eu dei risada pq me dei conta que eu pensava extamente q nem ele  anos atrás rsrs foi muito engraçado perceber","""location"":null"
"estava eu, Emanuel e Gabi tendo uma conversa civilizada, até q a Gabriela me solta um \""Bolsonaro 2018 e pronto\"" Ah mano","""location"":""hogwarts"""
"@GilbertoBarros Quem tem um filho, irmão ou amigo homossexual deve ver isso. Até outubro, o presidenciável Bolsonaro vai tentar parecer o que não é, vai dizer que mudou, só para conseguir seu voto. Ele também está fingindo que é um liberal na economia. https://t.co/JNUhx6nFaN","""location"":""São Paulo"
" Brasil"",quando vejo uma montagem dessas só que com o bolsonaro me vem automaticamente essa montagem do Hitler https://t.co/KrbNGNqWWE","""location"":null"
"@GilbertoBarros \""A única coisa boa do Maranhão é o presídio de Pedrinhas\"". Que absurdo! Os maranhenses merecem respeito, Bolsonaro. Em 2014, você não ligava pra isso. Não era presidenciável. Notem a agressividade e as palavras de baixo calão usadas pelo deputado.Ele está falando com JORNALISTAS. https://t.co/KxW6dlH7XQ","""location"":""São Paulo"
" Brasil"",A midia comunista e os esquerdinhas light dizem que o @jairbolsonaro é radical.Falar que bandido tem que ser tratado como bandido é radicalismo????Ser enfático contra a inversão de valores é radicalismo?????#ForaMidiaComunista #ForaComunistas https://t.co/ULvPjU6bYQ","""location"":""Brazil"""
"Você já deve ter visto, mas...@heycaulfield  euri https://t.co/Xr6zceQO6e","""location"":""Hogwarts"""
"@skaliv @jantoniochilo @GuilhermeBoulos Mano, quem está defendendo bandido aqui é vc!Vc diz que odeiam a esquerda, e é verdade!As pessoas não querem viver assim!Guiados por bandidos corruptos como o Lula!Se alguém acredita no bolsonaro algum motivo tem, o fato dele não ser corrupto ajuda muito!","""location"":""Porto Seguro"
" Brasil"",@RedeGlobo ??@JairBolsonaro Presidente do Brasil.A esquerdalha/bandidagem treme.#Bolsonaro2018#BolsonaroPresidente#SomosTodosBolsonarohttps://t.co/GfwxiU1jAk @CarlosBolsonaro#GloboLixo #Bolsonaro #eleicoes2018 #globo #segundosol #jornaldaglobo #encontro #fantastico #rodaviva","""location"":""Brasil"""
"Vai votar no Bolsonaro? — Deus me defenderay, melhor votar em branco https://t.co/JUWwNufHiO","""location"":""Auriflama"
" Brasil"",@GilbertoBarros Receber R$ 622 mil em auxílio-moradia, mesmo tendo apartamento em Brasília, não é coisa de gente honesta. Bolsonaro embolsa pouco mais de R$ 30 mil por ano há 20 ANOS (https://t.co/tloQdNDrG0). Irritado com a divulgação feita pela imprensa, o deputado reage com a usual grosseria. https://t.co/lP5BOrQlmO","""location"":""São Paulo"
" Brasil"",@conexaopolitica Que lixo? Deus nos livre destas maldições, já somos atormentado pela turma do satã, chega Bolsonaro nele com a cruz e a espada","""location"":""Republica de Curitiba"""
ae galera aquele tutorial de unfollow nos seguidores do bolsonaro vale pro otariano tb viu,"""location"":""São Paulo"
" Brasil"",podem me chamar d bolsonaro","""location"":""cg"""
"@GilbertoBarros Em breve, teremos mais um membro da família Bolsonaro na política. Com Renan, serão CINCO mamando nas tetas. Ir para o setor privado, onde ninguém trabalha de terça à quinta, nenhum deles quis. https://t.co/hc78tpPRui","""location"":""São Paulo"
" Brasil"",@nytimesworld O Bolsonaro filipino é sem noção.","""location"":""Brasil"""
@polpafiction sou bolsomito né irmã,"""location"":null"
"É uma lástima que 35 porcento do povo votam em lula e 15 porcento vota em bolsonaro. Não resta sanidade o suficiente para equilibrar uma democracia. Assim, a conclusão é uma das piores possíveis!","""location"":null"
Pessoa inocente é aquela que diz que se Bolsonaro for eleito presidente irá acabar com o crime no país ??,"""location"":""Guarapuava"
" Paraná"",@o POVO diz gigantesco não a Bolsonaro e a direita podre!@PorLulaLivre https://t.co/54KPJ0bO2c","""location"":null"
"@VaIehomossexuaI Esse tt foi para tentar queimar o Bolsonaro? Se defender contra a homofobia, é nos tribunais, contra um atentado a sua vida, com uma arma, caso tenha a disposição. ?","""location"":null"
E A GREVE? BOLSONARO/PETISTAS/BRASILEIROS/INTERVENÇÃO https://t.co/gIfV6XO9WT via @YouTube,"""location"":""Salvador"
" Brazil"",quem eh o loco que deu rt num tweet do bolsonaro quem","""location"":""santa catarina"""
"Trump lá, Bolsonaro cá!O Brasil tem solução com @jairbolsonaro e seu time em construção (Paulo Guedes na Economia, Mourão na Casa Civil, ...)#ForaMidiaComunista Globolixo, foice de sp, uol, rodaviva, ...#ForaComunistas https://t.co/hu6qDua4M8","""location"":""Brazil"""
se mulheres existem graças a deus pq elas existem https://t.co/lArN54BCct,"""location"":""penhão"""
"Faltam 10 dias pra Copa do Mundo, porém não vamos perder o foco na política pois é ano de eleição e vamos eleger Bolsonaro.","""location"":""Igarassu-PE"""
Desculpa me meter mas tem um pessoal defendenso a perversa que me lembra mt bolsominion defendendo o bolsonaro,"""location"":null"
Gostei de um vídeo @YouTube https://t.co/4yesK6ZaTP MANDA A REAL SOBRE BOLSONARO | Jacaré de Tanga,"""location"":""Campo Grande MS"""
Gostei de um vídeo @YouTube https://t.co/0sZW1kERNN de Lula tenta intimidar Bolsonaro mas passa vergonha,"""location"":""Osasco"
" São Paulo"",Eu só to vivendo para ver o Bolsonaro no debate político.","""location"":""Araraquara"
" Brasil"",@otaviomesquita Em breve, teremos mais um membro da família Bolsonaro na política. Com Renan, serão CINCO mamando nas tetas. Ir para o setor privado, onde ninguém trabalha de terça à quinta, nenhum deles quis. https://t.co/hc78tpPRui","""location"":""São Paulo"
" Brasil"",@otaviomesquita Quem tem um filho, irmão ou amigo homossexual deve ver isso. Até outubro, o presidenciável Bolsonaro vai tentar parecer o que não é, vai dizer que mudou, só para conseguir seu voto. Ele também está fingindo que é um liberal na economia. https://t.co/RhPP9PrwXx","""location"":""São Paulo"
" Brasil"",@jairbolsonaro Estão bastante preocupados.É fraqueza.Pra cima deles...Bolsonaro agora.","""location"":""Casa Verde"
" São Paulo"",PORQUE BOLSONARO É O: Cortar imposto, aumentar gasto com welfare, cancelar reform….","""location"":""Osasco"
